SCHOOL_YEAR,AGENCY_TYPE,CESA,COUNTY_CODE,COUNTY,CITY,DISTRICT_CODE,SCHOOL_CODE,GRADE_GROUP,CHOICE_IND,DISTRICT_NAME,SCHOOL_NAME,LOW_GRADE,HIGH_GRADE,GRADE_LEVEL,GRADE_LEVEL_DESC,GROUP_BY,GROUP_BY_VALUE,STUDENT_COUNT
2021-22,Private school,7,31,Kewaunee,Algoma,70,7115,Elementary School,No,Algoma,Saint Pauls Evangelical Lutheran Grade School,PK,8,All Grades,All Grades,All Students,All Students,60
2021-22,Private school,7,31,Kewaunee,Algoma,70,7115,Elementary School,No,Algoma,Saint Pauls Evangelical Lutheran Grade School,PK,8,1,1,All Students,All Students,9
2021-22,Private school,7,31,Kewaunee,Algoma,70,7115,Elementary School,No,Algoma,Saint Pauls Evangelical Lutheran Grade School,PK,8,2,2,All Students,All Students,10
2021-22,Private school,7,31,Kewaunee,Algoma,70,7115,Elementary School,No,Algoma,Saint Pauls Evangelical Lutheran Grade School,PK,8,3,3,All Students,All Students,6
2021-22,Private school,7,31,Kewaunee,Algoma,70,7115,Elementary School,No,Algoma,Saint Pauls Evangelical Lutheran Grade School,PK,8,4,4,All Students,All Students,3
2021-22,Private school,7,31,Kewaunee,Algoma,70,7115,Elementary School,No,Algoma,Saint Pauls Evangelical Lutheran Grade School,PK,8,5,5,All Students,All Students,2
2021-22,Private school,7,31,Kewaunee,Algoma,70,7115,Elementary School,No,Algoma,Saint Pauls Evangelical Lutheran Grade School,PK,8,6,6,All Students,All Students,3
2021-22,Private school,7,31,Kewaunee,Algoma,70,7115,Elementary School,No,Algoma,Saint Pauls Evangelical Lutheran Grade School,PK,8,7,7,All Students,All Students,2
2021-22,Private school,7,31,Kewaunee,Algoma,70,7115,Elementary School,No,Algoma,Saint Pauls Evangelical Lutheran Grade School,PK,8,8,8,All Students,All Students,2
2021-22,Private school,7,31,Kewaunee,Algoma,70,7115,Elementary School,No,Algoma,Saint Pauls Evangelical Lutheran Grade School,PK,8,9,9,All Students,All Students,0
2021-22,Private school,7,31,Kewaunee,Algoma,70,7115,Elementary School,No,Algoma,Saint Pauls Evangelical Lutheran Grade School,PK,8,10,10,All Students,All Students,0
2021-22,Private school,7,31,Kewaunee,Algoma,70,7115,Elementary School,No,Algoma,Saint Pauls Evangelical Lutheran Grade School,PK,8,11,11,All Students,All Students,0
2021-22,Private school,7,31,Kewaunee,Algoma,70,7115,Elementary School,No,Algoma,Saint Pauls Evangelical Lutheran Grade School,PK,8,12,12,All Students,All Students,0
2021-22,Private school,7,31,Kewaunee,Algoma,70,7115,Elementary School,No,Algoma,Saint Pauls Evangelical Lutheran Grade School,PK,8,K4,4-year-old Kindergarten,All Students,All Students,0
2021-22,Private school,7,31,Kewaunee,Algoma,70,7115,Elementary School,No,Algoma,Saint Pauls Evangelical Lutheran Grade School,PK,8,KG,5-year-old Kindergarten,All Students,All Students,7
2021-22,Private school,7,31,Kewaunee,Algoma,70,7115,Elementary School,No,Algoma,Saint Pauls Evangelical Lutheran Grade School,PK,8,PK,Pre-kindergarten,All Students,All Students,16
2021-22,School District,10,18,Eau Claire,,112,,[All],,Altoona,[Districtwide],,,1,1,All Students,All Students,13
2021-22,School District,10,18,Eau Claire,,112,,[All],,Altoona,[Districtwide],,,2,2,All Students,All Students,20
2021-22,School District,10,18,Eau Claire,,112,,[All],,Altoona,[Districtwide],,,3,3,All Students,All Students,16
2021-22,School District,10,18,Eau Claire,,112,,[All],,Altoona,[Districtwide],,,4,4,All Students,All Students,14
2021-22,School District,10,18,Eau Claire,,112,,[All],,Altoona,[Districtwide],,,5,5,All Students,All Students,10
2021-22,School District,10,18,Eau Claire,,112,,[All],,Altoona,[Districtwide],,,6,6,All Students,All Students,0
2021-22,School District,10,18,Eau Claire,,112,,[All],,Altoona,[Districtwide],,,7,7,All Students,All Students,0
2021-22,School District,10,18,Eau Claire,,112,,[All],,Altoona,[Districtwide],,,8,8,All Students,All Students,0
2021-22,School District,10,18,Eau Claire,,112,,[All],,Altoona,[Districtwide],,,9,9,All Students,All Students,0
2021-22,School District,10,18,Eau Claire,,112,,[All],,Altoona,[Districtwide],,,10,10,All Students,All Students,0
2021-22,School District,10,18,Eau Claire,,112,,[All],,Altoona,[Districtwide],,,11,11,All Students,All Students,0
2021-22,School District,10,18,Eau Claire,,112,,[All],,Altoona,[Districtwide],,,12,12,All Students,All Students,0
2021-22,School District,10,18,Eau Claire,,112,,[All],,Altoona,[Districtwide],,,K4,4-year-old Kindergarten,All Students,All Students,12
2021-22,School District,10,18,Eau Claire,,112,,[All],,Altoona,[Districtwide],,,KG,5-year-old Kindergarten,All Students,All Students,10
2021-22,School District,10,18,Eau Claire,,112,,[All],,Altoona,[Districtwide],,,PK,Pre-kindergarten,All Students,All Students,11
2021-22,School District,10,18,Eau Claire,,112,,[All],,Altoona,[Districtwide],,,All Grades,All Grades,All Students,All Students,106
2021-22,Private school,10,18,Eau Claire,Altoona,112,6255,Elementary School,Yes,Altoona,Saint Marys Grade School,K4,5,All Grades,All Grades,All Students,All Students,106
2021-22,Private school,10,18,Eau Claire,Altoona,112,6255,Elementary School,Yes,Altoona,Saint Marys Grade School,K4,5,1,1,All Students,All Students,13
2021-22,Private school,10,18,Eau Claire,Altoona,112,6255,Elementary School,Yes,Altoona,Saint Marys Grade School,K4,5,2,2,All Students,All Students,20
2021-22,Private school,10,18,Eau Claire,Altoona,112,6255,Elementary School,Yes,Altoona,Saint Marys Grade School,K4,5,3,3,All Students,All Students,16
2021-22,Private school,10,18,Eau Claire,Altoona,112,6255,Elementary School,Yes,Altoona,Saint Marys Grade School,K4,5,4,4,All Students,All Students,14
2021-22,Private school,10,18,Eau Claire,Altoona,112,6255,Elementary School,Yes,Altoona,Saint Marys Grade School,K4,5,5,5,All Students,All Students,10
2021-22,Private school,10,18,Eau Claire,Altoona,112,6255,Elementary School,Yes,Altoona,Saint Marys Grade School,K4,5,6,6,All Students,All Students,0
2021-22,Private school,10,18,Eau Claire,Altoona,112,6255,Elementary School,Yes,Altoona,Saint Marys Grade School,K4,5,7,7,All Students,All Students,0
2021-22,Private school,10,18,Eau Claire,Altoona,112,6255,Elementary School,Yes,Altoona,Saint Marys Grade School,K4,5,8,8,All Students,All Students,0
2021-22,Private school,10,18,Eau Claire,Altoona,112,6255,Elementary School,Yes,Altoona,Saint Marys Grade School,K4,5,9,9,All Students,All Students,0
2021-22,Private school,10,18,Eau Claire,Altoona,112,6255,Elementary School,Yes,Altoona,Saint Marys Grade School,K4,5,10,10,All Students,All Students,0
2021-22,Private school,10,18,Eau Claire,Altoona,112,6255,Elementary School,Yes,Altoona,Saint Marys Grade School,K4,5,11,11,All Students,All Students,0
2021-22,Private school,10,18,Eau Claire,Altoona,112,6255,Elementary School,Yes,Altoona,Saint Marys Grade School,K4,5,12,12,All Students,All Students,0
2021-22,Private school,10,18,Eau Claire,Altoona,112,6255,Elementary School,Yes,Altoona,Saint Marys Grade School,K4,5,K4,4-year-old Kindergarten,All Students,All Students,12
2021-22,Private school,10,18,Eau Claire,Altoona,112,6255,Elementary School,Yes,Altoona,Saint Marys Grade School,K4,5,KG,5-year-old Kindergarten,All Students,All Students,10
2021-22,Private school,10,18,Eau Claire,Altoona,112,6255,Elementary School,Yes,Altoona,Saint Marys Grade School,K4,5,PK,Pre-kindergarten,All Students,All Students,11
2021-22,School District,9,34,Langlade,,140,,[All],,Antigo Unified,[Districtwide],,,1,1,All Students,All Students,46
2021-22,School District,9,34,Langlade,,140,,[All],,Antigo Unified,[Districtwide],,,2,2,All Students,All Students,45
2021-22,School District,9,34,Langlade,,140,,[All],,Antigo Unified,[Districtwide],,,3,3,All Students,All Students,46
2021-22,School District,9,34,Langlade,,140,,[All],,Antigo Unified,[Districtwide],,,4,4,All Students,All Students,47
2021-22,School District,9,34,Langlade,,140,,[All],,Antigo Unified,[Districtwide],,,5,5,All Students,All Students,40
2021-22,School District,9,34,Langlade,,140,,[All],,Antigo Unified,[Districtwide],,,6,6,All Students,All Students,39
2021-22,School District,9,34,Langlade,,140,,[All],,Antigo Unified,[Districtwide],,,7,7,All Students,All Students,25
2021-22,School District,9,34,Langlade,,140,,[All],,Antigo Unified,[Districtwide],,,8,8,All Students,All Students,21
2021-22,School District,9,34,Langlade,,140,,[All],,Antigo Unified,[Districtwide],,,9,9,All Students,All Students,0
2021-22,School District,9,34,Langlade,,140,,[All],,Antigo Unified,[Districtwide],,,10,10,All Students,All Students,0
2021-22,School District,9,34,Langlade,,140,,[All],,Antigo Unified,[Districtwide],,,11,11,All Students,All Students,0
2021-22,School District,9,34,Langlade,,140,,[All],,Antigo Unified,[Districtwide],,,12,12,All Students,All Students,0
2021-22,School District,9,34,Langlade,,140,,[All],,Antigo Unified,[Districtwide],,,K4,4-year-old Kindergarten,All Students,All Students,23
2021-22,School District,9,34,Langlade,,140,,[All],,Antigo Unified,[Districtwide],,,KG,5-year-old Kindergarten,All Students,All Students,50
2021-22,School District,9,34,Langlade,,140,,[All],,Antigo Unified,[Districtwide],,,PK,Pre-kindergarten,All Students,All Students,0
2021-22,School District,9,34,Langlade,,140,,[All],,Antigo Unified,[Districtwide],,,All Grades,All Grades,All Students,All Students,382
2021-22,Private school,9,34,Langlade,Antigo,140,4700,Elementary School,No,Antigo Unified,All Saints Catholic School,K4,8,All Grades,All Grades,All Students,All Students,187
2021-22,Private school,9,34,Langlade,Antigo,140,4700,Elementary School,No,Antigo Unified,All Saints Catholic School,K4,8,1,1,All Students,All Students,21
2021-22,Private school,9,34,Langlade,Antigo,140,4700,Elementary School,No,Antigo Unified,All Saints Catholic School,K4,8,2,2,All Students,All Students,21
2021-22,Private school,9,34,Langlade,Antigo,140,4700,Elementary School,No,Antigo Unified,All Saints Catholic School,K4,8,3,3,All Students,All Students,25
2021-22,Private school,9,34,Langlade,Antigo,140,4700,Elementary School,No,Antigo Unified,All Saints Catholic School,K4,8,4,4,All Students,All Students,23
2021-22,Private school,9,34,Langlade,Antigo,140,4700,Elementary School,No,Antigo Unified,All Saints Catholic School,K4,8,5,5,All Students,All Students,19
2021-22,Private school,9,34,Langlade,Antigo,140,4700,Elementary School,No,Antigo Unified,All Saints Catholic School,K4,8,6,6,All Students,All Students,20
2021-22,Private school,9,34,Langlade,Antigo,140,4700,Elementary School,No,Antigo Unified,All Saints Catholic School,K4,8,7,7,All Students,All Students,17
2021-22,Private school,9,34,Langlade,Antigo,140,4700,Elementary School,No,Antigo Unified,All Saints Catholic School,K4,8,8,8,All Students,All Students,16
2021-22,Private school,9,34,Langlade,Antigo,140,4700,Elementary School,No,Antigo Unified,All Saints Catholic School,K4,8,9,9,All Students,All Students,0
2021-22,Private school,9,34,Langlade,Antigo,140,4700,Elementary School,No,Antigo Unified,All Saints Catholic School,K4,8,10,10,All Students,All Students,0
2021-22,Private school,9,34,Langlade,Antigo,140,4700,Elementary School,No,Antigo Unified,All Saints Catholic School,K4,8,11,11,All Students,All Students,0
2021-22,Private school,9,34,Langlade,Antigo,140,4700,Elementary School,No,Antigo Unified,All Saints Catholic School,K4,8,12,12,All Students,All Students,0
2021-22,Private school,9,34,Langlade,Antigo,140,4700,Elementary School,No,Antigo Unified,All Saints Catholic School,K4,8,K4,4-year-old Kindergarten,All Students,All Students,0
2021-22,Private school,9,34,Langlade,Antigo,140,4700,Elementary School,No,Antigo Unified,All Saints Catholic School,K4,8,KG,5-year-old Kindergarten,All Students,All Students,25
2021-22,Private school,9,34,Langlade,Antigo,140,4700,Elementary School,No,Antigo Unified,All Saints Catholic School,K4,8,PK,Pre-kindergarten,All Students,All Students,0
2021-22,Private school,9,34,Langlade,Antigo,140,2280,Elementary School,Yes,Antigo Unified,Peace Lutheran Grade School,K4,8,1,1,All Students,All Students,25
2021-22,Private school,9,34,Langlade,Antigo,140,2280,Elementary School,Yes,Antigo Unified,Peace Lutheran Grade School,K4,8,2,2,All Students,All Students,24
2021-22,Private school,9,34,Langlade,Antigo,140,2280,Elementary School,Yes,Antigo Unified,Peace Lutheran Grade School,K4,8,3,3,All Students,All Students,21
2021-22,Private school,9,34,Langlade,Antigo,140,2280,Elementary School,Yes,Antigo Unified,Peace Lutheran Grade School,K4,8,4,4,All Students,All Students,24
2021-22,Private school,9,34,Langlade,Antigo,140,2280,Elementary School,Yes,Antigo Unified,Peace Lutheran Grade School,K4,8,5,5,All Students,All Students,21
2021-22,Private school,9,34,Langlade,Antigo,140,2280,Elementary School,Yes,Antigo Unified,Peace Lutheran Grade School,K4,8,6,6,All Students,All Students,19
2021-22,Private school,9,34,Langlade,Antigo,140,2280,Elementary School,Yes,Antigo Unified,Peace Lutheran Grade School,K4,8,7,7,All Students,All Students,8
2021-22,Private school,9,34,Langlade,Antigo,140,2280,Elementary School,Yes,Antigo Unified,Peace Lutheran Grade School,K4,8,8,8,All Students,All Students,5
2021-22,Private school,9,34,Langlade,Antigo,140,2280,Elementary School,Yes,Antigo Unified,Peace Lutheran Grade School,K4,8,9,9,All Students,All Students,0
2021-22,Private school,9,34,Langlade,Antigo,140,2280,Elementary School,Yes,Antigo Unified,Peace Lutheran Grade School,K4,8,10,10,All Students,All Students,0
2021-22,Private school,9,34,Langlade,Antigo,140,2280,Elementary School,Yes,Antigo Unified,Peace Lutheran Grade School,K4,8,11,11,All Students,All Students,0
2021-22,Private school,9,34,Langlade,Antigo,140,2280,Elementary School,Yes,Antigo Unified,Peace Lutheran Grade School,K4,8,12,12,All Students,All Students,0
2021-22,Private school,9,34,Langlade,Antigo,140,2280,Elementary School,Yes,Antigo Unified,Peace Lutheran Grade School,K4,8,K4,4-year-old Kindergarten,All Students,All Students,23
2021-22,Private school,9,34,Langlade,Antigo,140,2280,Elementary School,Yes,Antigo Unified,Peace Lutheran Grade School,K4,8,KG,5-year-old Kindergarten,All Students,All Students,25
2021-22,Private school,9,34,Langlade,Antigo,140,2280,Elementary School,Yes,Antigo Unified,Peace Lutheran Grade School,K4,8,PK,Pre-kindergarten,All Students,All Students,0
2021-22,Private school,9,34,Langlade,Antigo,140,2280,Elementary School,Yes,Antigo Unified,Peace Lutheran Grade School,K4,8,All Grades,All Grades,All Students,All Students,195
2021-22,School District,6,44,Outagamie,,147,,[All],,Appleton Area,[Districtwide],,,All Grades,All Grades,All Students,All Students,3965
2021-22,School District,6,44,Outagamie,,147,,[All],,Appleton Area,[Districtwide],,,1,1,All Students,All Students,233
2021-22,School District,6,44,Outagamie,,147,,[All],,Appleton Area,[Districtwide],,,2,2,All Students,All Students,210
2021-22,School District,6,44,Outagamie,,147,,[All],,Appleton Area,[Districtwide],,,3,3,All Students,All Students,261
2021-22,School District,6,44,Outagamie,,147,,[All],,Appleton Area,[Districtwide],,,4,4,All Students,All Students,251
2021-22,School District,6,44,Outagamie,,147,,[All],,Appleton Area,[Districtwide],,,5,5,All Students,All Students,278
2021-22,School District,6,44,Outagamie,,147,,[All],,Appleton Area,[Districtwide],,,6,6,All Students,All Students,243
2021-22,School District,6,44,Outagamie,,147,,[All],,Appleton Area,[Districtwide],,,7,7,All Students,All Students,268
2021-22,School District,6,44,Outagamie,,147,,[All],,Appleton Area,[Districtwide],,,8,8,All Students,All Students,320
2021-22,School District,6,44,Outagamie,,147,,[All],,Appleton Area,[Districtwide],,,9,9,All Students,All Students,387
2021-22,School District,6,44,Outagamie,,147,,[All],,Appleton Area,[Districtwide],,,10,10,All Students,All Students,377
2021-22,School District,6,44,Outagamie,,147,,[All],,Appleton Area,[Districtwide],,,11,11,All Students,All Students,377
2021-22,School District,6,44,Outagamie,,147,,[All],,Appleton Area,[Districtwide],,,12,12,All Students,All Students,338
2021-22,School District,6,44,Outagamie,,147,,[All],,Appleton Area,[Districtwide],,,K4,4-year-old Kindergarten,All Students,All Students,147
2021-22,School District,6,44,Outagamie,,147,,[All],,Appleton Area,[Districtwide],,,KG,5-year-old Kindergarten,All Students,All Students,221
2021-22,School District,6,44,Outagamie,,147,,[All],,Appleton Area,[Districtwide],,,PK,Pre-kindergarten,All Students,All Students,54
2021-22,Private school,6,44,Outagamie,Appleton,147,1175,Elementary School,Yes,Appleton Area,Celebration Lutheran School,K4,8,1,1,All Students,All Students,7
2021-22,Private school,6,44,Outagamie,Appleton,147,1175,Elementary School,Yes,Appleton Area,Celebration Lutheran School,K4,8,2,2,All Students,All Students,6
2021-22,Private school,6,44,Outagamie,Appleton,147,1175,Elementary School,Yes,Appleton Area,Celebration Lutheran School,K4,8,3,3,All Students,All Students,8
2021-22,Private school,6,44,Outagamie,Appleton,147,1175,Elementary School,Yes,Appleton Area,Celebration Lutheran School,K4,8,4,4,All Students,All Students,8
2021-22,Private school,6,44,Outagamie,Appleton,147,1175,Elementary School,Yes,Appleton Area,Celebration Lutheran School,K4,8,5,5,All Students,All Students,11
