Preliminary 11/30/2021,,,,,,,,,,,,,,
"New Hampshire Department of Education
  Division of Education Analytics and Resources
  Bureau of Educational Statistics
  101 Pleasant St., Concord, NH 03301-3852
105,Colebrook - data not provided,,,,,,,255,Hinsdale,,,,11,Coe-Brown Northwood Academy (201)
111,Concord ,,,,50,,,257,Holderness,,,,1,Colebrook SAU Office (7)
112,Contoocook Valley,,,,83,,,259,Hollis,,,,33,Concord SAU Office (8)
113,Conway,,,,22,,,260,Hollis-Brookline Cooperative,,,,18,Contoocook Valley SAU Office (1)
115,Cornish,,,,4,,,261,Hooksett,,,,29,Conway SAU Office (9)
117,Croydon,,,,1,,,263,Hopkinton,,,,34,Cornish SAU Office (100)
127,Deerfield,,,,23,,,267,Hudson,,,,54,Croydon SAU Office (99)
131,Derry Cooperative,,,,99,,,269,Inter-Lakes Cooperative,,,,11,Pembroke SAU Office (53)
141,Dover,,,,80,,,271,Jackson,,,,0,Derry Cooperative SAU Office (10)
142,Dresden,,,,19,,,274,Jaffrey-Rindge Cooperative - data not provided,,,,,Dover SAU Office (11)
149,Dunbarton,,,,8,,,275,John Stark Regional,,,,14,Hanover SAU Office (70)
153,East Kingston,,,,6,,,276,Kearsarge Regional,,,,137,Bow SAU Office (67)
165,Epping,,,,18,,,279,Keene,,,,56,Exeter SAU Office (16)
167,Epsom,,,,12,,,281,Kensington,,,,0,Epping SAU Office (14)
171,Errol,,,,1,,,285,Laconia,,,,64,Pembroke SAU Office (53)
172,Exeter Region Cooperative,,,,17,,,288,Lafayette Regional - data not provided,,,,,Gorham SAU Office (20)
District ID,District Name ,,,,Total,,,District ID,District Name ,,,,Total,
291,Landaff,,,,1,,,441,Plainfield - data not provided,,,,,Exeter SAU Office (16)
295,Lebanon,,,,33,,,447,Plymouth,,,,20,Exeter SAU Office (16)
299,Lempster,,,,0,,,449,Portsmouth,,,,15,Fall Mountain Regional SAU Office (60)
305,Lincoln-Woodstock Cooperative,,,,1,,,450,Profile - data not provided,,,,,Farmington SAU Office (61)
306,Lisbon Regional - data not provided,,,,,,,453,Raymond,,,,16,Fremont SAU Office (83)
315,Litchfield,,,,10,,,461,Rochester,,,,181,Gilford SAU Office (73)
317,Littleton,,,,11,,,463,Rollinsford,,,,6,Gilmanton SAU Office (79)
319,Londonderry,,,,42,,,467,Rumney,,,,17,Goffstown SAU Office (19)
327,Lyme,,,,14,,,471,Rye,,,,13,Gorham SAU Office (20)
333,Madison,,,,3,,,473,Salem,,,,23,Governor Wentworth Regional SAU Office (49)
335,Manchester,,,,198,,,476,Sanborn Regional,,,,17,Grantham SAU Office (75)
339,Marlborough,,,,6,,,485,Seabrook,,,,6,Greenland SAU Office (50)
341,Marlow,,,,2,,,486,Shaker Regional,,,,28,Hampstead SAU Office (55)
342,Mascenic Regional,,,,80,,,491,Somersworth,,,,54,Hampton SAU Office (90)
343,Mascoma Valley Regional,,,,10,,,493,Souhegan Cooperative,,,,3,Winnacunnet SAU Office (21)
345,Mason,,,,4,,,495,South Hampton,,,,0,Hanover SAU Office (70)
351,Merrimack,,,,48,,,499,Stark,,,,1,Keene SAU Office (29)
352,Merrimack Valley,,,,76,,,501,Stewartstown - data not provided,,,,,Haverhill Cooperative SAU Office (23)
353,Middleton,,,,7,,,503,Stoddard,,,,7,Henniker SAU Office (24)
355,Milan,,,,2,,,507,Strafford - data not provided,,,,,Hill SAU Office (103)
357,Milford,,,,42,,,509,Stratford,,,,4,Hillsboro-Deering SAU Office (34)
359,Milton,,,,25,,,511,Stratham,,,,7,Hinsdale SAU Office (92)
363,Monadnock Regional,,,,49,,,515,Sunapee - data not provided,,,,,Plymouth SAU Office (48)
365,Monroe,,,,1,,,525,Tamworth,,,,7,Hollis-Brookline SAU Office (41)
367,Mont Vernon,,,,12,,,531,Thornton,,,,3,Hollis-Brookline SAU Office (41)
369,Moultonborough,,,,11,,,534,Timberlane Regional,,,,42,Hooksett SAU Office (15)
371,Nashua,,,,184,,,539,Unity,,,,1,Hopkinton SAU Office (66)
375,Nelson,,,,7,,,543,Wakefield,,,,5,Hudson SAU Office (81)
377,New Boston,,,,20,,,549,Warren,,,,24,Inter-Lakes Cooperative SAU Office (2)
381,New Castle,,,,0,,,551,Washington,,,,4,Conway SAU Office (9)
387,Newfields,,,,3,,,553,Waterville Valley,,,,3,Jaffrey-Rindge SAU Office (47)
388,Newfound Area ,,,,45,,,555,Weare,,,,18,Henniker SAU Office (24)
391,Newington,,,,7,,,559,Wentworth,,,,14,Kearsarge Regional SAU Office (65)
399,Newmarket,,,,56,,,563,Westmoreland,,,,5,Keene SAU Office (29)
401,Newport,,,,15,,,568,White Mountains Regional,,,,36,Exeter SAU Office (16)
405,North Hampton,,,,10,,,572,Wilton-Lyndeborough Cooperative,,,,12,Laconia SAU Office (30)
407,Northumberland,,,,4,,,573,Winchester,,,,22,SAU #35 Office (35)
411,Northwood,,,,21,,,575,Windham ,,,,42,SAU #35 Office (35)
413,Nottingham,,,,7,,,579,Windsor,,,,1,Lebanon SAU Office (88)
423,Oyster River Coop,,,,77,,,581,Winnacunnet Cooperative,,,,17,Lempster SAU Office (71)
425,Pelham,,,,23,,,582,Winnisquam Regional,,,,42,Lincoln-Woodstock SAU Office (68)
427,Pembroke,,,,23,,,Total Public Districts,,,,,"3,842",SAU #35 Office (35)
428,Pemi-Baker Regional,,,,76,,,,,,,,,Litchfield SAU Office (27)
435,Piermont,,,,24,,,Total Public Districts,,,,,"3,842",Littleton SAU Office (84)
437,Pittsburg - data not provided,,,,,,,,,,,,,Londonderry SAU Office (12)
439,Pittsfield,,,,16,,,,,,,,,Lyme SAU Office (76)
,,,,,,,,Other,,,,,,Tamworth SAU Office (13)
,,,,,,,,Department of ED is The Participating Agent,,,,,105,Manchester SAU Office (37)
,,,,,,,,Private Schools is the Participating Agent,,,,,238,Keene SAU Office (29)
,,,,,,,,Other Totals,,,,,343,Keene SAU Office (29)
,,,,,,,,,,,,,,Mascenic Regional SAU Office (87)
,,,,,,,,State Totals Home Schooled,,,,,,Mascoma Valley SAU Office (62)
,,,,,,,,Public District ,,,,,"3,842",Mason SAU Office (89)
,,,,,,,,Public Academies and JMA's**,,,,,0,Merrimack SAU Office (26)
,,,,,,,,Public Charter Schools***,,,,,0,Milford SAU Office (40)
,,,,,,,,Other Total,,,,,343,Milton SAU Office (64)
,,,,,,,,State Total,,,,,"4,185",Monadnock Regional SAU Office (93)
,,,,,,,,,,,,,,Monroe SAU Office (77)
,,,,,,,,,,,,,,Amherst SAU Office (39)
"* Ed 315.05 Duties of Participating Agencies. Resident district superintendents or nonpublic school principals as participating agencies shall maintain a list of all home education programs for which they have received notification. This list shall contain the name, date of birth and address of each child for whom a home education program is established. On October 1 of each year, the participating agency shall notify the commissioner of the number of children for whom programs were established",,,,,,,,,,,,,,
 **Public Academies and Joint Maintenance Agreement can not act as a participating agent.,,,,,,,,,,,,,,
***Public Charter schools can not act as a participating agent.,,,,,,,,,,,,,,
