9-Jan-20,,,,,,,,,,,,,,,,,,,,,,,
"New Hampshire Department of Education
Division of Education Analytics and Resources
Bureau of Educational Statistics
101 Pleasant St., Concord, NH 03301-3852
Telephone (603) 271-2775
Fax (603) 271-3875

2019-2020 Nonpublic School Enrollments in New Hampshire by Grade by Town
As of October 15th, 2019
",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
SchID,School Name,Town,PS,KG,RE,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,PG,SPEDEL,SPEDSEC,UGEL,UGSE,Total
20450,St. Thomas Aquinas High School,Dover,0,0,0,0,0,0,0,0,0,0,0,98,117,96,92,0,0,0,0,0,403
22825,Strafford Learning Center,Somersworth,0,0,0,0,1,1,7,3,2,3,6,1,1,4,3,0,0,0,0,0,32
21100,Tabernacle Christian School,Litchfield,3,5,0,3,9,5,6,5,13,3,2,1,2,6,3,0,0,0,5,0,71
29095,The Beech Hill School,Hopkinton,0,0,0,0,0,0,0,7,13,10,9,0,0,0,0,0,0,0,0,0,39
28030,The Birchtree Center,Newington,0,0,0,0,1,0,2,2,4,6,2,1,2,6,11,0,0,0,0,0,37
26720,The Community School,S. Tamworth,0,0,0,0,0,0,0,0,0,3,3,4,3,2,2,0,0,0,0,0,17
26370,The Cornerstone School,Stratham,43,16,0,17,14,16,10,13,10,5,13,0,0,0,0,0,0,0,0,0,157
29205,The Trinity School of Bedford,Bedford,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
22305,The Well School,Peterborough,20,11,0,5,13,9,11,10,13,14,15,0,0,0,0,0,0,0,0,0,121
22940,Tilton School,Tilton,0,0,0,0,0,0,0,0,0,0,0,40,47,63,68,20,0,0,0,0,238
22785,Tri-City Christian Academy,Somersworth,16,8,0,14,10,10,15,14,13,3,8,4,10,5,9,0,0,0,0,0,139
20310,Trinity Christian School,Concord,45,14,0,13,20,13,14,15,20,13,15,8,17,10,11,0,0,0,0,0,228
27665,Trinity Christian School,Keene,19,10,0,8,6,10,7,4,8,1,4,0,0,0,0,0,0,0,0,0,77
21500,Trinity High School,Manchester,0,0,0,0,0,0,0,0,0,0,0,92,75,65,93,0,0,0,0,0,325
29179,Unity Christian School,Berlin,0,0,0,3,2,4,2,1,2,0,1,0,3,0,0,0,0,0,0,0,18
29214,US Performance Academy,New London,0,0,0,0,0,0,0,0,2,6,9,21,31,25,20,0,0,0,0,0,114
20495,Victory Baptist School,Londonderry,0,9,0,5,3,7,2,5,5,3,4,4,6,5,2,0,0,0,0,0,60
26845,Victory High School,Jaffrey,0,0,0,0,0,0,0,0,0,0,0,3,7,3,8,0,0,0,0,0,21
29183,Waterville Valley Academy,Waterville Valley,0,0,0,0,0,0,0,0,0,0,0,0,7,4,7,0,0,0,0,0,18
26705,Wediko Childrens Services Inc.,Windsor,0,0,0,0,0,0,0,0,0,6,4,7,12,5,4,0,0,0,0,0,38
21430,White Mountain School,Bethlehem,0,0,0,0,0,0,0,0,0,0,0,24,26,35,46,0,0,0,0,0,131
28010,White Mountain Waldorf School,Conway,7,10,0,5,5,6,5,2,11,0,1,0,0,0,0,0,0,0,0,0,52
29216,Windham Woods School,Windham,0,0,0,1,3,2,6,9,11,10,4,2,0,0,0,0,0,0,0,0,48
28485,Woodland Community School,Bethlehem,0,3,0,2,5,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,18
26465,World Academy ,Nashua,114,44,0,37,31,35,22,33,25,34,25,0,0,0,0,0,0,0,0,0,400
,,,,,,,,,,,,,,,,,,,,,,,
"*Grades - PS - Preschool, KG - Kindergarten, RE - Readiness, PG - Post Grad, SPEDEL - Special Education Elementary, SPEDSEC - Special Education Secondary, UGEL - Ungraded, Elementary,",,,,,,,,,,,,,,,,,,,,,,,
