Revised 12/31/2020,,,,,,,,,,,,,,,,,,,,,
"New Hampshire Department of Education
Division of Analytics and Resources
Bureau of Educational Statistics
101 Pleasant Street, Concord NH 03301-3852
Telephone:(603) 271-2778",,,,,,,,,,,,,,,,,,,,,
29229,Crossroads Christian School,Pelham,13,17,0,3,6,7,7,4,1,7,6,5,4,3,4,0,0,0,87
22255,Crotched Mountain School,Greenfield,0,0,0,0,1,1,2,2,0,3,2,0,4,9,9,9,0,0,42
22235,Dublin Christian Academy,Dublin,9,16,0,10,14,4,16,5,6,5,8,8,7,11,6,0,0,0,125
22240,Dublin School,Dublin,0,0,0,0,0,0,0,0,0,0,0,29,40,45,49,0,0,0,163
28035,Easterseals Lancaster School,Lancaster ,0,0,0,0,0,0,0,0,2,0,1,1,1,3,6,0,0,0,14
28725,Enriched Learning Center,Berlin,0,0,0,0,0,0,0,2,2,3,1,5,3,1,1,0,0,0,18
21345,Estabrook Christian School,Plainfield,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,4
27780,Granite Hill School,Newport,0,0,0,0,0,0,0,0,3,1,5,6,14,7,6,0,0,0,42
22610,Green Valley School,Pembroke,14,8,0,7,10,3,8,6,3,4,2,0,0,0,0,0,0,0,65
22325,Hampshire Country School,Rindge,0,0,0,0,0,2,1,2,4,3,3,1,1,0,0,0,0,0,17
22735,Hampstead Academy,Hampstead,3,4,0,5,3,6,3,1,3,5,2,0,0,0,0,0,0,0,35
29159,Hawthorne Academy,Antrim,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,8
26850,Heritage Christian School,Rindge,0,12,0,10,10,9,5,13,2,4,4,0,0,0,0,0,0,0,69
28595,Heronfield Academy,Hampton Falls,0,0,0,0,0,0,0,0,30,32,23,0,0,0,0,0,0,0,85
23025,High Mowing School ,Wilton,8,30,0,9,8,20,14,10,17,16,12,24,32,30,43,0,0,0,273
28210,Hillsboro Christian School,Hillsboro,2,6,0,4,5,0,3,4,2,0,1,3,0,0,0,0,0,0,30
22340,Holderness School,Plymouth,0,0,0,0,0,0,0,0,0,0,0,60,69,80,73,5,0,0,287
28675,Hollis Montessori School,Hollis,17,11,0,10,10,5,11,4,1,7,5,3,0,0,0,0,0,0,84
27835,Holy Family Academy,Manchester,0,0,0,0,0,0,0,0,0,21,17,16,12,12,14,0,0,0,92
21280,Holy Trinity Catholic School,Laconia,14,7,0,5,10,12,10,8,8,1,3,0,0,0,0,0,0,0,78
26805,Immaculate Heart Of Mary School,Richmond,0,5,0,3,3,4,2,3,4,2,3,5,3,4,3,0,0,0,44
26880,Jesse Remington High School,Candia,0,0,0,0,0,0,0,0,0,0,0,10,11,11,7,0,0,0,39
28000,Kids Connections,Jefferson,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3
21380,Kimball Union Academy,Meriden,0,0,0,0,0,0,0,0,0,0,0,55,71,103,106,5,0,0,340
21265,Laconia Christian Academy,Laconia,8,5,0,7,4,2,11,8,11,11,10,3,9,6,8,0,0,0,103
22445,Learning Skills Academy,Rye,0,0,0,0,0,0,1,10,7,8,2,4,11,8,7,0,0,0,58
22640,Lighthouse Christian Academy,Rochester,0,2,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,8
29217,Lupine Montessori School,Littleton,24,5,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,37
28520,Meeting House Montessori School,Bow,13,10,0,9,10,1,1,0,0,0,0,0,0,0,0,0,0,0,44
21175,Monadnock Waldorf School,Keene,27,6,0,8,6,14,2,6,9,12,6,0,0,0,0,0,0,0,96
22685,Monarch School of New England,Rochester,0,1,0,2,2,3,2,3,8,2,6,3,6,4,25,0,0,0,67
27030,Mount Prospect Academy,Plymouth,0,0,0,0,0,0,0,2,4,8,18,26,23,15,5,0,0,0,101
27120,Mount Royal Academy Inc.,Sunapee,13,15,0,14,14,11,11,16,7,15,15,11,17,5,11,0,0,0,175
29209,Mount Royal Academy North,Lancaster,11,5,0,7,5,3,9,0,3,7,0,0,0,0,0,0,0,0,50
27085,Mount St. Mary Academy,Manchester,21,23,0,14,14,15,12,14,6,2,4,0,0,0,0,0,0,0,125
28420,Mount Zion Christian School,Manchester,15,11,0,16,14,15,12,14,13,5,14,2,5,5,8,0,0,0,149
26450,Mountain Shadows School,Dublin,0,0,0,2,5,7,9,15,9,10,8,0,0,0,0,0,0,0,65
29204,"My School, LLC",Dover,29,12,10,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,60
29176,Namaste Montessori School,Goffstown,7,4,0,0,4,2,1,3,0,0,0,0,0,0,0,0,2,0,23
21920,Nashua Childrens Home,Nashua,0,0,0,0,0,1,1,5,2,4,5,0,0,0,0,0,0,0,18
28690,New England Classical Academy,Claremont,0,1,0,3,0,2,1,4,2,3,3,7,3,4,2,0,0,0,35
20110,New Hampton School,New Hampton,0,0,0,0,0,0,0,0,0,0,0,51,74,102,90,18,0,0,335
28680,Newport Montessori School,Newport,21,12,0,9,6,3,6,11,8,6,5,0,0,0,0,0,0,0,87
28040,NFI North - Contoocook School,Contoocook,0,0,0,0,0,0,0,0,0,1,1,2,1,2,4,0,0,0,11
29168,"North End Montessori School ,LLC",Manchester,67,21,0,5,12,6,2,0,0,0,0,0,0,0,0,0,0,0,113
28415,Oliverian School,Haverhill,0,0,0,0,0,0,0,0,0,0,0,1,2,9,13,0,0,0,25
29235,Our Lady of Mercy Academy,Keene,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,0,0,15
27935,Parker Academy,Concord,0,0,0,0,0,0,0,0,0,1,6,5,11,7,6,0,0,0,36
20580,Phillips Exeter Academy,Exeter,0,0,0,0,0,0,0,0,0,0,0,213,266,293,304,10,0,0,1086
22570,Pine Haven Boys Center,Suncook,0,0,0,0,2,0,7,6,1,5,1,0,0,0,0,0,0,0,22
21225,Pioneer Junior Academy,Westmoreland,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,5
22540,Portsmouth Christian Academy,Dover,39,33,0,34,30,29,28,43,36,34,35,32,33,40,47,0,0,0,493
21080,Presentation of Mary Academy,Hudson,42,35,0,39,37,49,56,49,50,48,42,0,0,0,0,0,0,0,447
22125,Proctor Academy,Andover,0,0,0,0,0,0,0,0,0,0,0,65,107,102,92,0,0,0,366
21650,Robert B. Jolicoeur School,Manchester,0,0,0,0,0,0,3,3,4,9,4,19,9,25,47,0,0,0,123
29025,Rochester Learning Academy,Gonic,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,0,0,0,13
27490,RSEC (Reg Svces & Educ Ctr) - Academy,Amherst,0,0,0,0,0,0,0,0,0,5,3,6,5,9,3,0,0,0,31
27915,RSEC (Reg Svces & Educ Ctr) - Longview,Deerfield,0,0,0,0,0,0,0,0,0,0,0,4,6,4,2,0,0,0,16
29215,RSEC (RegSvcs Ed Ctr) - Vista Learning Center,Amherst,0,0,0,0,0,0,0,0,0,0,2,1,4,2,3,0,0,0,12
20785,Sacred Heart School,Hampton,23,19,0,18,18,18,18,22,28,28,29,0,0,0,0,0,0,0,221
22520,Saint Patrick Academy,Portsmouth,30,20,0,22,20,19,20,21,20,20,20,0,0,0,0,0,0,0,212
29227,Salve Regina Academy,Gorham,8,5,0,2,3,3,6,1,3,4,0,0,0,0,0,0,0,0,35
22935,Sant Bani School,Sanbornton,13,16,0,16,16,14,15,18,16,18,15,0,0,0,0,0,0,0,157
20520,Seacoast Learning Collaborative,Newton,0,0,0,0,1,4,2,3,6,5,4,6,6,1,4,6,25,0,73
20245,Second Start,Concord,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23
27045,Shaker Road School,Concord,82,24,0,17,11,13,15,18,10,21,19,0,0,0,0,0,0,0,230
29206,Shalom Christian Academy,Salem,4,5,2,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,15
28025,Shortridge Academy,Milton,0,0,0,0,0,0,0,0,0,0,0,5,12,7,14,1,0,0,39
27555,South Merrimack Christian Academy,Merrimack,14,12,0,17,12,19,8,8,15,15,14,15,12,9,8,0,0,0,178
28710,Southern NH Montessori Academy,Londonderry,15,3,0,5,2,1,3,0,0,0,0,0,0,0,0,0,0,0,29
22930,Spaulding Academy & Family Services,Northfield,0,1,0,1,5,5,7,12,16,11,5,8,7,2,6,0,0,0,86
29230,Squall Point Academy,Dover,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3
29228,Squamscott River Academy,North Hampton,0,0,0,0,0,0,0,0,0,1,2,5,0,3,1,0,0,0,12
21615,St. Benedict Academy,Manchester,14,15,0,16,17,12,15,13,9,0,0,0,0,0,0,0,0,0,111
21660,St. Catherine School,Manchester,23,45,0,47,46,41,42,25,46,0,0,0,0,0,0,0,0,0,315
29198,St. Charles School,Rochester,0,0,0,1,3,4,2,4,4,1,1,0,0,0,0,0,0,0,20
21900,St. Christopher Academy,Nashua,30,37,0,42,58,39,40,42,63,64,61,0,0,0,0,0,0,0,476
22710,St. Elizabeth Seton School,Rochester,9,9,0,4,6,6,8,10,3,9,4,0,0,0,0,0,0,0,68
21655,St. Francis Of Assisi School,Litchfield,30,24,0,24,23,22,16,23,14,0,0,0,0,0,0,0,0,0,176
20235,St. John Regional School,Concord,8,12,0,20,20,20,17,19,18,20,25,0,0,0,0,0,0,0,179
22885,St. Joseph Regional Catholic School (Salem),Salem,28,15,0,18,16,16,14,16,18,10,12,0,0,0,0,0,0,0,163
21595,St. Joseph Regional Junior High School,Manchester,0,0,0,0,0,0,0,0,0,55,41,0,0,0,0,0,0,0,96
21180,St. Joseph Regional School (Keene),Keene,19,13,0,17,17,16,27,18,17,24,22,0,0,0,0,0,0,0,190
20440,St. Mary Academy,Dover,18,16,0,17,18,20,29,19,19,20,22,0,0,0,0,0,0,0,198
20280,St. Paul's School,Concord,0,0,0,0,0,0,0,0,0,0,0,105,136,154,147,0,0,0,542
20450,St. Thomas Aquinas High School,Dover,0,0,0,0,0,0,0,0,0,0,0,113,98,101,89,0,0,0,401
22825,Strafford Learning Center,Somersworth,0,0,0,0,1,2,1,5,4,2,2,1,1,3,3,0,0,0,25
21100,Tabernacle Christian School,Litchfield,4,4,0,2,2,6,4,4,5,9,2,0,0,3,6,0,0,0,51
29095,The Beech Hill School,Hopkinton,0,0,0,0,0,0,0,9,12,17,11,0,0,0,0,0,0,0,49
28030,The Birchtree Center,Newington,0,1,0,0,0,1,0,2,2,4,6,1,1,2,16,0,0,0,36
26720,The Community School,S. Tamworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26370,The Cornerstone School,Stratham,40,16,0,17,14,16,10,13,10,5,13,0,0,0,0,0,0,0,154
21535,The Derryfield School,Manchester,0,0,0,0,0,0,0,0,31,49,45,81,69,54,70,0,0,0,399
26705,The Home for Little Wanderers,Windsor,0,0,0,0,0,0,0,0,2,2,7,7,9,8,5,0,0,0,40
29205,The Trinity School of Bedford,Bedford,0,5,0,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,16
22305,The Well School,Peterborough,11,9,0,11,4,12,7,9,8,8,15,0,0,0,0,0,0,0,94
22940,Tilton School,Tilton,0,0,0,0,0,0,0,0,0,0,0,21,48,61,62,21,0,0,213
22785,Tri-City Christian Academy,Somersworth,10,13,0,8,19,7,9,15,9,13,3,7,5,10,2,0,0,0,130
20310,Trinity Christian School,Concord,44,18,0,18,18,20,21,16,18,17,18,18,10,15,11,0,0,0,262
27665,Trinity Christian School of Keene,Keene,18,12,0,8,9,7,9,8,8,9,0,0,0,0,0,0,0,0,88
21500,Trinity High School,Manchester,0,0,0,0,0,0,0,0,0,0,0,91,96,80,66,0,0,0,333
29179,Unity Christian School,Berlin,0,0,0,2,1,2,4,4,1,0,0,1,0,1,0,0,0,0,16
29214,US Performance Academy,New London,0,0,0,0,0,0,0,0,2,25,31,37,49,26,15,0,0,0,185
20495,Victory Baptist School,Londonderry,0,2,2,9,6,3,6,3,6,1,2,3,2,6,5,0,0,0,56
26845,Victory High School,Jaffrey,0,0,0,0,0,0,0,0,0,0,0,6,4,7,13,0,0,0,30
29183,Waterville Valley Academy,Waterville Valley,0,0,0,0,0,0,0,0,0,0,0,8,4,6,6,0,0,0,24
21430,White Mountain School,Bethlehem,0,0,0,0,0,0,0,0,0,0,0,25,38,36,36,0,0,0,135
29216,Windham Woods School,Windham,0,0,0,0,3,8,4,7,20,12,12,4,4,0,0,0,0,0,74
28485,Woodland Community School,Bethlehem,0,1,0,4,3,3,2,3,2,1,1,0,0,0,0,0,0,0,20
26465,World Academy ,Nashua,94,48,0,35,30,32,36,26,34,22,35,0,0,0,0,0,0,0,392
,,,,,,,,,,,,,,,,,,,,,
"*Grades - PS - Preschool, KG - Kindergarten, RE - Readiness, PG - Post Grad, UGEL - Ungraded Elementary, UGSE - Ungraded Secondary",,,,,,,,,,,,,,,,,,,,,
**The data for school year 20-21 provides an enrollment count for each grade level that includes all special education students.,,,,,,,,,,,,,,,,,,,,,
